sport,season,competition_name,event_i_d,event_name_short,event_gender,competition_date,name,person_i_d,person_age_days,country,rank,snatch1,snatch1_success,snatch2,snatch2_success,snatch3,snatch3_success,cj1,cj1_success,cj2,cj2_success,cj3,cj3_success,total
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,MEGO CONTRERAS Shoely Mabel,1271164,8999.0,PER,14.0,77,False,77,True,79,False,97,False,97,True,100,False,174
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,AJIMA Chiaki,1273619,10119.0,JPN,,81,False,81,False,83,False,103,False,103,False,103,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,JIANG Huihua,1273751,9566.0,CHN,3.0,90,True,94,False,94,True,114,True,120,False,123,False,208
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,RI Song Gum,1304356,9663.0,PRK,1.0,91,True,95,True,97,True,120,True,124,True,126,False,221
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,HOU Zhihui,1393761,9876.0,CHN,2.0,93,True,97,True,99,False,113,True,120,False,120,True,217
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,BOMIRIYAGE GOMAS Dinusha Hansani,1430865,11415.0,SRI,20.0,72,True,76,True,79,False,85,True,90,False,90,False,161
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,SHIN Jaegyeong,1440660,10645.0,KOR,,81,False,81,False,82,False,100,True,103,False,103,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,NGUYEN Tham,1442148,10060.0,IRL,19.0,70,False,70,True,73,False,91,True,94,False,96,True,166
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,RANDAFIARISON Rosina,1497649,8860.0,MAD,16.0,75,False,75,True,77,True,95,True,100,False,100,False,172
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,KHAMBAO Surodchana,1546794,8866.0,THA,5.0,85,True,88,False,88,False,106,True,109,True,111,False,194
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,RAMOS Rosegie,1583498,7413.0,PHI,8.0,85,True,87,False,87,True,103,False,103,True,105,False,190
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,IMPERIO Giulia,1645439,8151.0,ITA,,85,False,85,False,85,True,104,False,104,False,104,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,KLARISA Juliana,1645525,7917.0,INA,,77,True,80,True,82,False,102,False,102,False,102,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,ALICI Duygu,1709747,8478.0,TUR,22.0,70,False,70,False,70,True,85,True,90,True,0,False,160
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,SUZUKI Rira,1715927,9339.0,JPN,4.0,83,True,85,True,87,False,107,True,110,True,112,True,197
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,PHAM Dinh Thi,1791703,8214.0,VIE,13.0,77,False,77,True,80,True,97,True,100,True,102,False,180
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,ECHANDIA ZARATE Katherin Oriana,1813785,8266.0,VEN,6.0,81,True,83,True,85,True,102,True,106,True,108,True,193
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,ORTIZ Dahiana,1813830,8161.0,DOM,10.0,81,True,83,False,83,False,105,True,111,False,111,False,186
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,FAJRESLAM Maha,1920717,7577.0,MAR,23.0,65,False,65,False,65,True,80,True,85,False,86,False,145
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,AISAH Windy Cantika,1968707,7965.0,INA,11.0,80,False,80,True,84,True,100,False,100,True,105,False,184
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,LIN Cheng Jing,2017212,8838.0,TPE,,82,False,82,False,82,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,PANFILOVA Jamila,2092635,7720.0,UZB,18.0,77,True,80,False,80,False,93,True,95,False,95,False,170
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,INAN Lovely,2246853,7140.0,PHI,,79,False,79,True,82,False,101,False,101,False,0,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,KEAN Brenna Mae,2327635,10622.0,AUS,,72,False,74,False,74,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,ABDYKALYKOVA Ainur,2408817,8871.0,KAZ,21.0,65,True,69,True,72,True,81,True,85,True,88,True,160
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,KANG Hyon Gyong,1163169,9177.0,PRK,1.0,96,True,101,True,103,True,120,True,131,True,0,False,234
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,DELACRUZ Jourdan Elizabeth,1378088,9449.0,USA,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,SOROKHAIBAM Bindyarani Devi,1546651,9197.0,IND,3.0,83,False,83,True,86,False,110,True,113,True,119,False,196
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,CAMBEI Mihaela-Valentina,1645541,7806.0,ROU,2.0,88,True,91,True,93,False,103,True,108,True,110,True,201
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,ABDULLAEVA Nigora,1791709,7264.0,UZB,5.0,83,True,86,False,86,False,102,True,105,True,109,False,188
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,YODSARN Poisian,2295275,8106.0,THA,7.0,81,True,84,True,87,False,100,False,100,False,100,True,184
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,WINI Jenly Tegu,2305645,14819.0,SOL,9.0,74,True,78,True,80,True,95,True,100,False,102,False,175
