name,country,snatch1,snatch2,snatch3,cj1,cj2,cj3,total,snatch1_success,snatch2_success,snatch3_success,cj1_success,cj2_success,cj3_success
MARTINS GARCIA VALENTE Jose Fernanior,TLS,88,91,93,112,115,115,205,True,True,True,True,False,False
AlTHAFIRI Falah A H M,KUW,84,90,92,105,114,120,206,True,True,True,True,True,False
ANDREEV Bozhidar Dimitrov,BUL,0,0,0,0,0,0,0,False,False,False,False,False,False
LOPEZ LOPEZ Yeison,COL,175,181,182,205,210,215,392,True,False,True,True,True,False
NASAR Karlos May,BUL,170,176,181,215,224,224,396,True,True,True,True,False,False
LI Dayin,CHN,173,178,178,210,210,216,383,True,False,False,False,True,False
TIAN Tao,CHN,171,176,177,215,226,226,0,True,False,False,False,False,False
PIZZOLATO Antonino,ITA,170,175,176,210,210,215,380,True,False,False,False,True,False
PETROVICH Sergey,KAZ,163,167,171,190,196,196,363,True,True,False,True,False,True
BELLEMARRE Alex,CAN,163,167,170,195,195,200,362,True,True,False,False,True,False
YU Dongju,KOR,163,166,168,200,209,209,375,True,True,False,True,False,True
ROBU Marin,MDA,165,169,169,0,0,0,0,True,False,False,False,False,False
VALLENILLA SANCHEZ Keydomar Giovanni,VEN,165,168,169,0,0,0,0,True,False,False,False,False,False
ZAFARJONOV Sarvarbek,UZB,164,168,168,190,0,0,0,True,False,False,False,False,False
SHOHRADOV Shatlyk,TKM,162,165,165,195,202,202,357,True,False,False,True,False,False
SAEZ VERA Olfides,CUB,160,165,165,200,206,210,360,True,False,False,True,False,False
MOLDODOSOV Emil,KGZ,153,157,160,182,187,190,347,True,False,True,True,True,False
MEZINSKIS Armands,LAT,156,156,160,195,200,201,355,False,False,True,True,False,False
JAVADI ALIABADI Mir Mostafa,IRI,160,0,0,206,0,0,0,True,False,False,False,False,False
HSIEH Meng-En,TPE,155,155,155,192,192,200,355,False,False,True,False,True,True
IAKOVIDIS Theodoros,GRE,153,158,160,183,187,190,336,True,False,False,True,False,False
ASANIDZE Saba,GEO,146,150,152,183,187,191,343,True,True,True,True,True,True
SAXTON Oliver Riley,AUS,145,145,150,185,185,188,335,False,True,True,False,True,False
PENT Leho,EST,150,155,156,185,187,187,0,True,False,False,False,False,False
ATENCIA PRIOU Amel Karim,PER,150,150,156,180,187,190,340,False,True,False,True,False,True
