name,country,snatch1,snatch2,snatch3,cj1,cj2,cj3,total,snatch1_success,snatch2_success,snatch3_success,cj1_success,cj2_success,cj3_success
BRUCE Kyle John Ryan Christopher P,AUS,145,149,149,187,187,187,336,True,False,True,False,False,True
BROWN Sean Kevin,IRL,142,142,147,171,176,178,318,False,True,True,True,False,False
CUMMINGS JR Clarence,USA,143,148,0,0,0,0,0,True,False,False,False,False,False
BALUSHI Issa Rajab Mohammed Al Balushi,UAE,125,132,132,155,155,160,287,True,False,True,False,True,False
OON Yuen Tzern,SGP,120,125,130,145,152,155,275,True,True,True,True,False,False
SANTAVY Boady Robert,CAN,167,168,169,0,0,0,0,False,False,False,False,False,False
ASAYONAK Petr,AIN,163,163,163,0,0,0,0,False,False,False,False,False,False
TORAYEV Gaygysyz,TKM,153,153,155,0,0,0,0,False,False,False,False,False,False
AL-KHANJARI Amur Salim Ramadhan,OMA,0,0,0,0,0,0,0,False,False,False,False,False,False
MUELLER Nico,GER,160,160,163,0,0,0,0,False,False,False,False,False,False
MENDEZ PEREZ Arley,CHI,163,163,163,0,0,0,0,False,False,False,False,False,False
KARAPETYAN Andranik,ARM,170,171,175,0,0,0,0,False,False,False,False,False,False
ESCUDERO ORDONEZ Ivan Andres,ECU,157,157,157,0,0,0,0,False,False,False,False,False,False
DAMRON Nathan Charles,USA,165,166,167,196,205,206,0,False,False,False,True,False,False
WON Jongbeom,KOR,170,179,179,210,219,0,389,True,False,False,True,True,False
ABOKAHLA Karim Ibrahim Ibrahim Ali,EGY,165,171,171,205,0,0,370,True,False,False,True,False,False
KENNEDY Braydon James,CAN,156,161,165,187,192,193,358,True,True,True,True,False,True
NANAI LIVI Maeu,SAM,155,155,160,186,190,192,347,False,True,False,True,False,True
TARMALOV Nursultan,KGZ,145,151,157,170,182,185,321,True,True,False,True,False,False
LOPEZ CARPIZO Jose Luis,MEX,130,135,140,160,171,180,311,True,True,True,True,True,False
MASHEGO Vuyani,RSA,122,127,127,157,162,162,284,True,False,True,True,False,False
DALEY James Francis,JAM,110,113,116,135,138,141,251,True,True,False,True,True,False
HAMADA Mohammed K H,PLE,100,0,0,120,0,0,220,True,False,False,True,False,False
IMADOUCHENE Romain Jordan Sebastien,FRA,0,0,0,0,0,0,0,False,False,False,False,False,False
HASANBAYEV Davranbek,TKM,180,185,187,205,207,207,392,True,True,True,True,False,False
PAREDES MONTANO Lesman,BRN,181,186,0,212,0,0,398,True,True,False,True,False,False
KARAPETYAN Garik,ARM,180,185,185,212,216,0,401,True,False,True,True,True,False
TSIKHANTSOU Yauheni,AIN,175,180,183,210,217,225,400,True,False,True,True,True,False
LIU Huanhua,CHN,175,181,186,220,225,232,413,True,True,False,True,True,True
DEHDAR Reza,IRI,172,176,179,208,214,214,387,True,True,True,True,False,False
BACHA Aymen,TUN,176,176,176,206,207,210,0,False,False,True,False,False,False
MATYAKUBOV Shahzadbek,TKM,173,173,176,210,217,217,386,False,True,True,True,False,False
SHARANKOU Siarhei,AIN,175,180,182,207,212,215,382,True,False,False,True,False,False
JANG Yeonhak,KOR,175,180,180,0,0,0,0,True,False,False,False,False,False
RIVAS MOSQUERA Jhonatan,COL,175,180,180,208,214,214,0,True,False,False,False,False,False
MOCHIDA Ryunosuke,JPN,168,173,176,206,218,218,0,True,True,False,False,False,False
BRATU Tudor,MDA,170,173,176,205,219,219,378,True,True,False,True,False,False
GASPARYAN Samvel,ARM,172,177,181,0,0,0,0,True,False,False,False,False,False
OPELOGE Don,SAM,170,170,170,215,215,221,391,False,False,True,False,True,True
CHKHEIDZE Irakli,GEO,170,174,174,211,222,0,381,True,False,False,True,False,False
SHUKURLU Ali,AZE,167,172,175,200,205,210,377,True,False,False,True,True,True
RASULBEKOV Bekdoolot,KGZ,165,170,172,208,218,220,385,True,False,False,True,True,True
PLESNIEKS Arturs,LAT,165,173,174,205,215,227,370,True,False,False,True,False,False
EZZEDDIN Alghafeer,UAE,160,164,167,0,0,0,0,True,True,False,False,False,False
ABUZRIBA Ahmed Mustafa Ahmed,LBA,158,163,169,192,198,201,361,True,True,False,True,True,False
MUGURDUMOV Artur,ISR,155,159,163,198,203,205,361,True,True,True,True,False,False
RAINIBOGI Taniela Tuisuva,FIJ,162,167,170,202,206,206,364,True,False,False,True,False,False
MORA ROMERO Ramiro,WRT,157,162,165,197,0,0,359,True,True,False,True,False,False
ZALDIVAR MELIAN Juan Carlos,CUB,158,158,163,200,207,210,358,False,True,False,True,False,False
CHEN Hsiang-Yu,TPE,150,150,155,190,191,191,346,False,True,True,False,False,True
VAUTARD Brandon Robert Jean,FRA,150,150,160,206,211,211,356,False,True,False,True,False,False
ALSALLAJ Asem Mousa Husam,JOR,135,141,146,175,182,191,337,True,True,True,True,True,True
UIKILIFI JR Joshua Makafana,TGA,140,145,150,180,185,190,330,True,True,False,True,True,False
KACINSKAS Irmantas,LTU,145,145,151,175,177,184,322,False,True,False,False,True,False
BURGER Ruben,RSA,130,135,140,160,165,168,295,True,True,False,True,False,False
